exp_id,benchmark,N_f,N_i,layers,neurons,w_pde,w_ic,w_eik,adam_epochs,lbfgs_epochs,scheduler,scheduler_params,sampling,t_normalized,L2abs_t0,L2abs_tT4,L2abs_tT2,L2abs_t3T4,L2abs_tT,avg_L2abs,L2rel(%)_t0,L2rel(%)_tT4,L2rel(%)_tT2,L2rel(%)_t3T4,L2rel(%)_tT,avg_L2rel(%),mass_t0,mass_tT4,mass_tT2,mass_t3T4,mass_tT,avg_mass,MAPE(%)_t0,MAPE(%)_tT4,MAPE(%)_tT2,MAPE(%)_t3T4,MAPE(%)_tT,avg_MAPE(%),training_time
TR_S3_exp01,TR,10000,5000,8,256,1.0,10.0,1.0,20000,500,StepLR,step_1000_gamma_0.9,uniform,True,1.03e-04,1.56e-04,2.26e-04,2.71e-04,2.90e-04,2.09e-04,0.03%,0.05%,0.08%,0.10%,0.09%,0.07%,9.64e-05,4.30e-06,2.93e-05,4.90e-05,4.30e-06,3.67e-05,0.14%,0.01%,0.04%,0.07%,0.01%,0.05%,12.2 minutes
TR_S3_exp02,TR,20000,10000,8,256,1.0,10.0,1.0,20000,500,StepLR,step_1000_gamma_0.9,uniform,True,3.31e-04,6.94e-04,1.08e-03,1.42e-03,1.71e-03,1.05e-03,0.09%,0.22%,0.39%,0.50%,0.53%,0.35%,5.16e-05,1.75e-04,1.41e-04,1.19e-04,4.30e-06,9.81e-05,0.07%,0.25%,0.20%,0.17%,0.01%,0.14%,25.4 minutes
TR_S3_exp03,TR,10000,5000,8,256,1.0,10.0,1.0,20000,500,StepLR,step_1000_gamma_0.9,Interface,True,2.93e-04,6.01e-04,9.59e-04,1.24e-03,1.49e-03,9.17e-04,0.08%,0.19%,0.35%,0.44%,0.46%,0.30%,6.89e-06,2.67e-05,3.79e-05,3.79e-05,4.90e-05,3.17e-05,0.01%,0.04%,0.05%,0.05%,0.07%,0.04%,11.3 minutes
TR_S3_exp04,TR,10000,5000,8,256,1.0,10.0,1.0,20000,500,StepLR,step_1000_gamma_0.9,lhs,True,1.41e-04,2.40e-04,3.64e-04,4.61e-04,4.97e-04,3.40e-04,0.04%,0.08%,0.13%,0.16%,0.15%,0.11%,5.16e-05,1.08e-04,1.19e-04,1.81e-05,8.52e-05,7.62e-05,0.07%,0.15%,0.17%,0.03%,0.12%,0.11%,12.1 minutes
TR_S3_exp05,TR,10000,5000,8,256,1.0,10.0,1.0,20000,500,StepLR,step_1000_gamma_0.9,sobol,True,4.07e-04,1.02e-03,1.68e-03,2.20e-03,2.66e-03,1.59e-03,0.11%,0.33%,0.60%,0.78%,0.82%,0.53%,2.08e-04,1.63e-04,3.87e-04,3.98e-04,4.10e-04,3.13e-04,0.29%,0.23%,0.55%,0.56%,0.58%,0.44%,11.9 minutes
TR_S3_exp06,TR,8192,5000,8,256,1.0,10.0,1.0,20000,500,StepLR,step_1000_gamma_0.9,sobol,True,3.29e-04,5.92e-04,9.11e-04,1.18e-03,1.37e-03,8.77e-04,0.09%,0.19%,0.33%,0.42%,0.42%,0.29%,2.93e-05,1.30e-04,1.75e-04,2.67e-05,6.28e-05,8.47e-05,0.04%,0.18%,0.25%,0.04%,0.09%,0.12%,9.8 minutes
