exp_id,benchmark,N_f,N_i,layers,neurons,w_pde,w_ic,w_eik,adam_epochs,lbfgs_epochs,scheduler,scheduler_params,sampling,t_normalized,L2abs_t0,L2abs_tT4,L2abs_tT2,L2abs_t3T4,L2abs_tT,avg_L2abs,L2rel(%)_t0,L2rel(%)_tT4,L2rel(%)_tT2,L2rel(%)_t3T4,L2rel(%)_tT,avg_L2rel(%),mass_t0,mass_tT4,mass_tT2,mass_t3T4,mass_tT,avg_mass,MAPE(%)_t0,MAPE(%)_tT4,MAPE(%)_tT2,MAPE(%)_t3T4,MAPE(%)_tT,avg_MAPE(%),training_time
TR_S1_exp01,TR,10000,5000,8,256,1.0,10.0,1.0,20000,500,None,no scheduler,uniform,True,1.86e-04,2.62e-04,3.53e-04,4.37e-04,5.45e-04,3.57e-04,0.05%,0.08%,0.13%,0.16%,0.17%,0.12%,8.52e-05,5.16e-05,1.41e-04,3.79e-05,8.52e-05,8.02e-05,0.12%,0.07%,0.20%,0.05%,0.12%,0.11%,11.7 minutes
TR_S1_exp02,TR,10000,5000,8,256,1.0,10.0,1.0,20000,500,CosineAnnealing,eta_min=1e-4,uniform,True,2.75e-04,5.28e-04,8.08e-04,1.03e-03,1.26e-03,7.80e-04,0.07%,0.17%,0.29%,0.37%,0.39%,0.26%,9.64e-05,1.86e-04,2.53e-04,1.63e-04,7.40e-05,1.55e-04,0.14%,0.26%,0.36%,0.23%,0.10%,0.22%,11.6 minutes
TR_S1_exp03,TR,10000,5000,8,256,1.0,10.0,1.0,20000,500,CosineAnnealing,eta_min=1e-5,uniform,True,2.37e-04,3.88e-04,5.85e-04,7.45e-04,9.70e-04,5.85e-04,0.06%,0.12%,0.21%,0.26%,0.30%,0.19%,1.52e-04,2.93e-05,2.75e-04,1.52e-04,9.64e-05,1.41e-04,0.22%,0.04%,0.39%,0.22%,0.14%,0.20%,10.5 minutes
TR_S1_exp04,TR,10000,5000,8,256,1.0,10.0,1.0,20000,500,CosineAnnealing,eta_min=1e-6,uniform,True,3.12e-04,5.52e-04,8.76e-04,1.15e-03,1.50e-03,8.79e-04,0.08%,0.18%,0.32%,0.41%,0.46%,0.29%,8.52e-05,2.31e-04,2.75e-04,1.19e-04,9.64e-05,1.61e-04,0.12%,0.33%,0.39%,0.17%,0.14%,0.23%,12.0 minutes
TR_S1_exp05,TR,10000,5000,8,256,1.0,10.0,1.0,20000,500,StepLR,step_1000_gamma_0.9,uniform,True,1.03e-04,1.56e-04,2.26e-04,2.71e-04,2.90e-04,2.09e-04,0.03%,0.05%,0.08%,0.10%,0.09%,0.07%,9.64e-05,4.30e-06,2.93e-05,4.90e-05,4.30e-06,3.67e-05,0.14%,0.01%,0.04%,0.07%,0.01%,0.05%,13.0 minutes
