exp_id,benchmark,N_f,N_i,layers,neurons,w_pde,w_ic,w_eik,adam_epochs,lbfgs_epochs,scheduler,scheduler_params,sampling,t_normalized,L2abs_t0,L2abs_tT4,L2abs_tT2,L2abs_t3T4,L2abs_tT,avg_L2abs,L2rel(%)_t0,L2rel(%)_tT4,L2rel(%)_tT2,L2rel(%)_t3T4,L2rel(%)_tT,avg_L2rel(%),mass_t0,mass_tT4,mass_tT2,mass_t3T4,mass_tT,avg_mass,training_time
ZD_S1_exp01,ZD,10000,5000,8,256,1.0,10.0,1.0,20000,500,StepLR,step_1000_gamma_0.9,uniform,True,6.97e-04,1.41e-02,1.41e-02,1.41e-02,1.43e-02,1.15e-02,0.20%,4.07%,4.05%,4.06%,4.10%,3.30%,9.40e-04,1.11e-02,1.08e-02,1.09e-02,1.07e-02,8.90e-03,18.3 minutes
ZD_S1_exp02,ZD,10000,5000,8,256,1.0,10.0,0.1,20000,500,StepLR,step_1000_gamma_0.9,uniform,True,8.61e-04,1.42e-02,1.42e-02,1.43e-02,1.42e-02,1.16e-02,0.25%,4.09%,4.09%,4.10%,4.09%,3.32%,1.44e-03,1.15e-02,1.15e-02,1.15e-02,1.15e-02,9.49e-03,19.5 minutes
ZD_S1_exp03,ZD,10000,5000,8,256,1.0,10.0,0.01,20000,500,StepLR,step_1000_gamma_0.9,uniform,True,7.72e-04,1.40e-02,1.40e-02,1.38e-02,1.38e-02,1.13e-02,0.22%,4.02%,4.01%,3.98%,3.97%,3.24%,8.39e-04,1.06e-02,1.05e-02,1.05e-02,1.06e-02,8.62e-03,18.2 minutes
ZD_S1_exp04,ZD,10000,5000,8,256,1.0,10.0,0.001,20000,500,StepLR,step_1000_gamma_0.9,uniform,True,1.28e-03,7.20e-03,7.76e-03,7.91e-03,8.08e-03,6.44e-03,0.37%,2.07%,2.23%,2.27%,2.32%,1.85%,2.46e-04,4.99e-03,4.15e-03,3.55e-03,3.48e-03,3.28e-03,18.6 minutes
ZD_S1_exp05,ZD,10000,5000,8,256,1.0,10.0,0.0001,20000,500,StepLR,step_1000_gamma_0.9,uniform,True,1.65e-03,5.23e-03,6.80e-03,7.70e-03,7.89e-03,5.85e-03,0.47%,1.50%,1.95%,2.21%,2.27%,1.68%,2.24e-05,1.19e-03,4.69e-03,7.21e-03,7.36e-03,4.09e-03,18.9 minutes
ZD_S1_exp06,ZD,10000,5000,8,256,1.0,10.0,0.0,20000,500,StepLR,step_1000_gamma_0.9,uniform,True,1.29e-03,6.39e-03,7.28e-03,7.84e-03,7.95e-03,6.15e-03,0.37%,1.84%,2.09%,2.25%,2.29%,1.77%,3.47e-04,2.40e-03,7.05e-04,1.45e-04,1.79e-04,7.56e-04,17.7 minutes
