exp_id,benchmark,N_f,N_i,layers,neurons,w_pde,w_ic,w_eik,adam_epochs,lbfgs_epochs,scheduler,scheduler_params,sampling,t_normalized,L2abs_t0,L2abs_tT4,L2abs_t3T4,L2abs_tT,avg_L2abs,L2rel(%)_t0,L2rel(%)_tT4,L2rel(%)_t3T4,L2rel(%)_tT,avg_L2rel(%),mass_t0,mass_tT4,mass_t3T4,mass_tT,avg_mass,training_time
RO_S1_exp01,RO,10000,5000,8,256,1.0,10.0,1.0,20000,500,None,no scheduler,uniform,True,1.42e-04,2.83e-04,5.59e-04,6.53e-04,4.09e-04,0.04%,0.08%,0.16%,0.19%,0.12%,6.71e-05,2.01e-04,2.68e-04,3.58e-04,2.24e-04,15.5 minutes
RO_S1_exp02,RO,10000,5000,8,256,1.0,10.0,1.0,20000,500,CosineAnnealing,eta_min=1e-4,uniform,True,1.96e-04,2.84e-04,5.98e-04,9.44e-04,5.05e-04,0.06%,0.08%,0.17%,0.27%,0.15%,1.12e-05,1.01e-04,3.69e-04,2.91e-04,1.93e-04,15.3 minutes
RO_S1_exp03,RO,10000,5000,8,256,1.0,10.0,1.0,20000,500,CosineAnnealing,eta_min=1e-5,uniform,True,1.66e-04,2.07e-04,3.92e-04,5.92e-04,3.40e-04,0.05%,0.06%,0.11%,0.17%,0.10%,0.00e+00,1.57e-04,3.13e-04,4.81e-04,2.38e-04,16.3 minutes
RO_S1_exp04,RO,10000,5000,8,256,1.0,10.0,1.0,20000,500,CosineAnnealing,eta_min=1e-6,uniform,True,1.91e-04,3.37e-04,6.85e-04,7.01e-04,4.79e-04,0.05%,0.10%,0.20%,0.20%,0.14%,1.34e-04,3.02e-04,4.81e-04,5.37e-04,3.64e-04,14.5 minutes
RO_S1_exp05,RO,10000,5000,8,256,1.0,10.0,1.0,20000,500,StepLR,step_1000_gamma_0.9,uniform,True,1.85e-04,5.40e-04,8.64e-04,9.57e-04,6.36e-04,0.05%,0.15%,0.25%,0.27%,0.18%,5.59e-05,5.03e-04,8.28e-04,9.06e-04,5.73e-04,17.5 minutes
