exp_id,benchmark,N_f,N_i,layers,neurons,w_pde,w_ic,w_eik,adam_epochs,lbfgs_epochs,scheduler,scheduler_params,sampling,t_normalized,L2abs_t0,L2abs_tT4,L2abs_tT2,L2abs_t3T4,L2abs_tT,avg_L2abs,L2rel(%)_t0,L2rel(%)_tT4,L2rel(%)_tT2,L2rel(%)_t3T4,L2rel(%)_tT,avg_L2rel(%),mass_t0,mass_tT4,mass_tT2,mass_t3T4,mass_tT,avg_mass,MAPE(%)_t0,MAPE(%)_tT4,MAPE(%)_tT2,MAPE(%)_t3T4,MAPE(%)_tT,avg_MAPE(%),training_time
RV_S2_exp01,RV,10000,5000,8,256,1.0,10.0,1.0,20000,500,StepLR,step_1000_gamma_0.9,uniform,True,1.31e-03,1.51e-01,1.57e-01,1.56e-01,1.53e-01,1.24e-01,0.38%,43.42%,45.14%,44.73%,44.07%,35.55%,3.31e-04,7.07e-02,7.07e-02,7.07e-02,6.94e-02,5.64e-02,0.47%,100.00%,100.00%,100.00%,98.21%,79.74%,18.5 minutes
RV_S2_exp02,RV,10000,5000,8,256,1.0,10.0,0.1,20000,500,StepLR,step_1000_gamma_0.9,uniform,True,1.12e-03,9.65e-02,1.08e-01,1.05e-01,1.01e-01,8.25e-02,0.32%,27.72%,31.11%,30.13%,29.11%,23.68%,2.93e-05,7.07e-02,7.07e-02,7.07e-02,7.07e-02,5.66e-02,0.04%,100.00%,100.00%,100.00%,100.00%,80.01%,20.6 minutes
RV_S2_exp03,RV,10000,5000,8,256,1.0,10.0,0.01,20000,500,StepLR,step_1000_gamma_0.9,uniform,True,2.37e-03,7.39e-02,7.53e-02,7.53e-02,7.52e-02,6.04e-02,0.68%,21.21%,21.63%,21.63%,21.60%,17.35%,9.77e-04,7.07e-02,7.07e-02,7.07e-02,7.07e-02,5.67e-02,1.38%,100.00%,100.00%,100.00%,100.00%,80.28%,17.7 minutes
RV_S2_exp04,RV,10000,5000,8,256,1.0,10.0,0.001,20000,500,StepLR,step_1000_gamma_0.9,uniform,True,8.95e-04,6.05e-03,7.27e-03,7.68e-03,7.62e-03,5.90e-03,0.26%,1.74%,2.09%,2.20%,2.19%,1.70%,3.73e-04,4.43e-03,6.50e-03,7.47e-03,7.42e-03,5.24e-03,0.53%,6.27%,9.20%,10.56%,10.50%,7.41%,18.0 minutes
RV_S2_exp05,RV,10000,5000,8,256,1.0,10.0,0.0001,20000,500,StepLR,step_1000_gamma_0.9,uniform,True,4.90e-04,1.42e-03,1.77e-03,1.92e-03,1.98e-03,1.51e-03,0.14%,0.41%,0.51%,0.55%,0.57%,0.43%,1.83e-04,1.41e-04,3.65e-04,7.34e-04,8.91e-04,4.63e-04,0.26%,0.20%,0.52%,1.04%,1.26%,0.65%,14.2 minutes
RV_S2_exp06,RV,10000,5000,8,256,1.0,10.0,0.0,20000,500,StepLR,step_1000_gamma_0.9,uniform,True,4.98e-04,1.42e-03,1.79e-03,2.05e-03,2.12e-03,1.58e-03,0.14%,0.41%,0.51%,0.59%,0.61%,0.45%,1.55e-05,4.32e-04,9.35e-04,1.35e-03,1.57e-03,8.61e-04,0.02%,0.61%,1.32%,1.91%,2.23%,1.22%,15.0 minutes
