exp_id,benchmark,N_f,N_i,layers,neurons,w_pde,w_ic,w_eik,adam_epochs,lbfgs_epochs,scheduler,scheduler_params,sampling,t_normalized,L2abs_t0,L2abs_tT4,L2abs_tT2,L2abs_t3T4,L2abs_tT,avg_L2abs,L2rel(%)_t0,L2rel(%)_tT4,L2rel(%)_tT2,L2rel(%)_t3T4,L2rel(%)_tT,avg_L2rel(%),mass_t0,mass_tT4,mass_tT2,mass_t3T4,mass_tT,avg_mass,training_time
ZD_S2_exp01,ZD,10000,5000,8,256,1.0,10.0,0.0001,20000,500,StepLR,step_1000_gamma_0.9,IC_5k_uniform_colloc_10k_uniform,True,1.65e-03,5.23e-03,6.80e-03,7.70e-03,7.89e-03,5.85e-03,0.47%,1.50%,1.95%,2.21%,2.27%,1.68%,2.24e-05,1.19e-03,4.69e-03,7.21e-03,7.36e-03,4.09e-03,16.9 minutes
ZD_S2_exp02,ZD,10000,5000,8,256,1.0,10.0,0.0001,20000,500,StepLR,step_1000_gamma_0.9,IC_8.5k_uniform5k_bbox2k_walls1.5k_colloc_10k_uniform,True,6.62e-04,8.74e-03,8.80e-03,8.86e-03,8.86e-03,7.18e-03,0.19%,2.51%,2.53%,2.55%,2.55%,2.06%,4.25e-04,7.81e-03,7.75e-03,7.81e-03,7.84e-03,6.33e-03,18.7 minutes
ZD_S2_exp03,ZD,10000,5000,8,256,1.0,10.0,0.0001,20000,500,StepLR,step_1000_gamma_0.9,IC_8.5k_uniform5k_bbox2k_walls1.5k_colloc_13k_uniform10k_slotwalls3k,True,1.32e-03,2.49e-03,3.55e-03,3.73e-03,4.32e-03,3.08e-03,0.38%,0.71%,1.02%,1.07%,1.24%,0.89%,5.03e-04,2.73e-03,3.22e-03,3.05e-03,3.13e-03,2.53e-03,24.1 minutes
ZD_S2_exp04,ZD,10000,5000,8,256,1.0,10.0,0.0001,20000,500,StepLR,step_1000_gamma_0.9,IC_8.5k_uniform5k_bbox2k_walls1.5k_colloc_19k_uniform10k_slotwalls3k_bot3k_top3k_biased_t,True,1.11e-03,2.26e-03,3.40e-03,3.63e-03,3.94e-03,2.87e-03,0.32%,0.65%,0.98%,1.04%,1.13%,0.82%,2.24e-04,2.66e-03,2.66e-03,2.10e-03,1.92e-03,1.91e-03,34.5 minutes
