exp_id,benchmark,N_f,N_i,layers,neurons,w_pde,w_ic,w_eik,adam_epochs,lbfgs_epochs,scheduler,scheduler_params,sampling,t_normalized,L2abs_t0,L2abs_tT4,L2abs_tT2,L2abs_t3T4,L2abs_tT,avg_L2abs,L2rel(%)_t0,L2rel(%)_tT4,L2rel(%)_tT2,L2rel(%)_t3T4,L2rel(%)_tT,avg_L2rel(%),mass_t0,mass_tT4,mass_tT2,mass_t3T4,mass_tT,avg_mass,MAPE(%)_t0,MAPE(%)_tT4,MAPE(%)_tT2,MAPE(%)_t3T4,MAPE(%)_tT,avg_MAPE(%),training_time
RO_S2_exp01,RO,10000,5000,8,256,1.0,10.0,0.0,20000,500,CosineAnnealing,eta_min=1e-5,uniform,True,5.41e-04,2.17e-03,3.40e-03,4.05e-03,5.37e-03,3.11e-03,0.16%,0.62%,0.98%,1.16%,1.54%,0.89%,6.89e-06,6.44e-04,1.58e-03,2.26e-03,2.51e-03,1.40e-03,0.01%,0.91%,2.24%,3.19%,3.55%,1.98%,15.3 minutes
RO_S2_exp02,RO,10000,5000,8,256,1.0,10.0,0.001,20000,500,CosineAnnealing,eta_min=1e-5,uniform,True,1.95e-03,5.01e-03,7.85e-03,8.50e-03,7.99e-03,6.26e-03,0.56%,1.44%,2.26%,2.44%,2.29%,1.80%,2.53e-03,5.15e-03,5.94e-03,5.91e-03,6.16e-03,5.14e-03,3.59%,7.29%,8.40%,8.36%,8.71%,7.27%,10.1 minutes
RO_S2_exp03,RO,10000,5000,8,256,1.0,10.0,0.01,20000,500,CosineAnnealing,eta_min=1e-5,uniform,True,1.65e-03,2.85e-03,3.62e-03,4.05e-03,4.92e-03,3.42e-03,0.47%,0.82%,1.04%,1.16%,1.41%,0.98%,1.58e-03,3.69e-03,4.64e-03,5.52e-03,6.18e-03,4.32e-03,2.24%,5.22%,6.56%,7.81%,8.74%,6.11%,10.0 minutes
RO_S2_exp04,RO,10000,5000,8,256,1.0,10.0,0.1,20000,500,CosineAnnealing,eta_min=1e-5,uniform,True,1.87e-04,2.98e-04,3.41e-04,3.80e-04,4.37e-04,3.29e-04,0.05%,0.09%,0.10%,0.11%,0.13%,0.09%,2.93e-05,2.67e-05,4.90e-05,4.90e-05,3.79e-05,3.84e-05,0.04%,0.04%,0.07%,0.07%,0.05%,0.05%,15.7 minutes
RO_S2_exp05,RO,10000,5000,8,256,1.0,10.0,1.0,20000,500,CosineAnnealing,eta_min=1e-5,uniform,True,1.66e-04,2.07e-04,2.90e-04,3.92e-04,5.92e-04,3.30e-04,0.05%,0.06%,0.08%,0.11%,0.17%,0.09%,9.64e-05,6.02e-05,1.94e-04,2.17e-04,3.85e-04,1.90e-04,0.14%,0.09%,0.28%,0.31%,0.54%,0.27%,15.0 minutes
