exp_id,benchmark,N_f,N_i,layers,neurons,w_pde,w_ic,w_eik,adam_epochs,lbfgs_epochs,scheduler,scheduler_params,sampling,t_normalized,L2abs_t0,L2abs_tT4,L2abs_tT2,L2abs_t3T4,L2abs_tT,avg_L2abs,L2rel(%)_t0,L2rel(%)_tT4,L2rel(%)_tT2,L2rel(%)_t3T4,L2rel(%)_tT,avg_L2rel(%),mass_t0,mass_tT4,mass_tT2,mass_t3T4,mass_tT,avg_mass,MAPE(%)_t0,MAPE(%)_tT4,MAPE(%)_tT2,MAPE(%)_t3T4,MAPE(%)_tT,avg_MAPE(%),training_time
RO_S1_exp01,RO,10000,5000,8,256,1.0,10.0,1.0,20000,500,None,no scheduler,uniform,True,1.42e-04,2.83e-04,4.62e-04,5.59e-04,6.53e-04,4.20e-04,0.04%,0.08%,0.13%,0.16%,0.19%,0.12%,2.93e-05,1.05e-04,1.61e-04,1.72e-04,2.62e-04,1.46e-04,0.04%,0.15%,0.23%,0.24%,0.37%,0.21%,15.5 minutes
RO_S1_exp02,RO,10000,5000,8,256,1.0,10.0,1.0,20000,500,CosineAnnealing,eta_min=1e-4,uniform,True,1.96e-04,2.84e-04,4.13e-04,5.98e-04,9.44e-04,4.87e-04,0.06%,0.08%,0.12%,0.17%,0.27%,0.14%,1.08e-04,4.30e-06,1.27e-04,2.73e-04,1.94e-04,1.41e-04,0.15%,0.01%,0.18%,0.39%,0.28%,0.20%,15.3 minutes
RO_S1_exp03,RO,10000,5000,8,256,1.0,10.0,1.0,20000,500,CosineAnnealing,eta_min=1e-5,uniform,True,1.66e-04,2.07e-04,2.90e-04,3.92e-04,5.92e-04,3.30e-04,0.05%,0.06%,0.08%,0.11%,0.17%,0.09%,9.64e-05,6.02e-05,1.94e-04,2.17e-04,3.85e-04,1.90e-04,0.14%,0.09%,0.28%,0.31%,0.54%,0.27%,16.3 minutes
RO_S1_exp04,RO,10000,5000,8,256,1.0,10.0,1.0,20000,500,CosineAnnealing,eta_min=1e-6,uniform,True,1.91e-04,3.37e-04,5.31e-04,6.85e-04,7.01e-04,4.89e-04,0.05%,0.10%,0.15%,0.20%,0.20%,0.14%,3.79e-05,2.06e-04,2.73e-04,3.85e-04,4.41e-04,2.68e-04,0.05%,0.29%,0.39%,0.54%,0.62%,0.38%,14.5 minutes
RO_S1_exp05,RO,10000,5000,8,256,1.0,10.0,1.0,20000,500,StepLR,step_1000_gamma_0.9,uniform,True,1.85e-04,5.40e-04,7.70e-04,8.64e-04,9.57e-04,6.63e-04,0.05%,0.15%,0.22%,0.25%,0.27%,0.19%,4.04e-05,4.07e-04,6.31e-04,7.31e-04,8.10e-04,5.24e-04,0.06%,0.58%,0.89%,1.03%,1.15%,0.74%,17.5 minutes
