exp_id,benchmark,N_f,N_i,layers,neurons,w_pde,w_ic,w_eik,adam_epochs,lbfgs_epochs,scheduler,scheduler_params,sampling,t_normalized,L2abs_t0,L2abs_tT4,L2abs_tT2,L2abs_t3T4,L2abs_tT,avg_L2abs,L2rel(%)_t0,L2rel(%)_tT4,L2rel(%)_tT2,L2rel(%)_t3T4,L2rel(%)_tT,avg_L2rel(%),mass_t0,mass_tT4,mass_tT2,mass_t3T4,mass_tT,avg_mass,MAPE(%)_t0,MAPE(%)_tT4,MAPE(%)_tT2,MAPE(%)_t3T4,MAPE(%)_tT,avg_MAPE(%),training_time
RO_S3_exp01,RO,10000,5000,8,256,1.0,10.0,0.1,20000,500,CosineAnnealing,eta_min=1e-5,uniform,True,1.87e-04,2.98e-04,3.41e-04,3.80e-04,4.37e-04,3.29e-04,0.05%,0.09%,0.10%,0.11%,0.13%,0.09%,2.93e-05,2.67e-05,4.90e-05,4.90e-05,3.79e-05,3.84e-05,0.04%,0.04%,0.07%,0.07%,0.05%,0.05%,15.2 minutes
RO_S3_exp02,RO,20000,10000,8,256,1.0,10.0,0.1,20000,500,CosineAnnealing,eta_min=1e-5,uniform,True,2.05e-04,2.65e-04,2.75e-04,3.00e-04,3.93e-04,2.88e-04,0.06%,0.08%,0.08%,0.09%,0.11%,0.08%,1.41e-04,6.28e-05,1.63e-04,9.64e-05,2.08e-04,1.34e-04,0.20%,0.09%,0.23%,0.14%,0.29%,0.19%,28.8 minutes
RO_S3_exp03,RO,10000,5000,8,256,1.0,10.0,0.1,20000,500,CosineAnnealing,eta_min=1e-5,interface,True,1.30e-03,1.56e-03,1.92e-03,2.21e-03,2.98e-03,1.99e-03,0.37%,0.45%,0.55%,0.64%,0.86%,0.57%,1.39e-04,3.51e-04,4.74e-04,6.53e-04,3.96e-04,4.03e-04,0.20%,0.50%,0.67%,0.92%,0.56%,0.57%,10.4 minutes
RO_S3_exp04,RO,10000,5000,8,256,1.0,10.0,0.1,20000,500,CosineAnnealing,eta_min=1e-5,lhs,True,2.20e-04,3.73e-04,5.29e-04,6.43e-04,6.14e-04,4.76e-04,0.06%,0.11%,0.15%,0.18%,0.18%,0.14%,5.16e-05,2.28e-04,2.95e-04,2.73e-04,4.29e-04,2.55e-04,0.07%,0.32%,0.42%,0.39%,0.61%,0.36%,16.2 minutes
RO_S3_exp05,RO,10000,5000,8,256,1.0,10.0,0.1,20000,500,CosineAnnealing,eta_min=1e-5,sobol,True,9.90e-04,1.27e-03,1.53e-03,1.86e-03,2.58e-03,1.65e-03,0.28%,0.37%,0.44%,0.53%,0.74%,0.47%,2.17e-04,5.19e-04,4.96e-04,5.86e-04,3.98e-04,4.43e-04,0.31%,0.73%,0.70%,0.83%,0.56%,0.63%,10.8 minutes
RO_S3_exp06,RO,8192,5000,8,256,1.0,10.0,0.1,20000,500,CosineAnnealing,eta_min=1e-5,sobol,True,1.07e-03,1.18e-03,1.52e-03,1.70e-03,2.47e-03,1.59e-03,0.31%,0.34%,0.44%,0.49%,0.71%,0.46%,5.19e-04,6.87e-04,6.87e-04,7.31e-04,6.89e-06,5.26e-04,0.73%,0.97%,0.97%,1.03%,0.01%,0.74%,9.0 minutes
